time,amplitude
5.980357998084292470e-01,-5.700000000000000205e-02
6.000359195402299450e-01,-5.999999999999999778e-02
6.020360392720307541e-01,-6.099999999999999867e-02
6.040361590038314521e-01,-6.099999999999999867e-02
6.060362787356322611e-01,-5.999999999999999778e-02
6.080363984674330702e-01,-5.800000000000000294e-02
6.100365181992337682e-01,-5.600000000000000117e-02
6.120366379310345772e-01,-5.500000000000000028e-02
6.140367576628352753e-01,-5.500000000000000028e-02
6.160368773946360843e-01,-5.600000000000000117e-02
6.180369971264368933e-01,-5.700000000000000205e-02
6.200371168582375914e-01,-5.700000000000000205e-02
6.220372365900384004e-01,-5.700000000000000205e-02
6.240373563218392094e-01,-5.700000000000000205e-02
6.260374760536399075e-01,-5.600000000000000117e-02
6.280375957854407165e-01,-5.500000000000000028e-02
6.300377155172414145e-01,-5.500000000000000028e-02
6.320378352490422236e-01,-5.600000000000000117e-02
6.340379549808430326e-01,-5.800000000000000294e-02
6.360380747126437306e-01,-5.899999999999999689e-02
6.380381944444445397e-01,-5.999999999999999778e-02
6.400383141762453487e-01,-6.099999999999999867e-02
6.420384339080460467e-01,-5.999999999999999778e-02
6.440385536398468558e-01,-5.899999999999999689e-02
6.460386733716475538e-01,-5.700000000000000205e-02
6.480387931034483628e-01,-5.600000000000000117e-02
6.500389128352491719e-01,-5.399999999999999939e-02
6.520390325670498699e-01,-5.399999999999999939e-02
6.540391522988506789e-01,-5.399999999999999939e-02
6.560392720306513770e-01,-5.500000000000000028e-02
6.580393917624521860e-01,-5.700000000000000205e-02
6.600395114942529950e-01,-5.899999999999999689e-02
6.620396312260536931e-01,-5.999999999999999778e-02
6.640397509578545021e-01,-6.099999999999999867e-02
6.660398706896553112e-01,-6.199999999999999956e-02
6.680399904214560092e-01,-6.099999999999999867e-02
6.700401101532568182e-01,-5.999999999999999778e-02
6.720402298850575162e-01,-5.899999999999999689e-02
6.740403496168583253e-01,-5.700000000000000205e-02
6.760404693486591343e-01,-5.500000000000000028e-02
6.780405890804598323e-01,-5.399999999999999939e-02
6.800407088122606414e-01,-5.500000000000000028e-02
6.820408285440613394e-01,-5.600000000000000117e-02
6.840409482758621484e-01,-5.899999999999999689e-02
6.860410680076629575e-01,-6.199999999999999956e-02
6.880411877394636555e-01,-6.400000000000000133e-02
6.900413074712644645e-01,-6.600000000000000311e-02
6.920414272030652736e-01,-6.500000000000000222e-02
6.940415469348659716e-01,-6.400000000000000133e-02
6.960416666666667806e-01,-6.099999999999999867e-02
6.980417863984674787e-01,-5.899999999999999689e-02
7.000419061302682877e-01,-5.700000000000000205e-02
7.020420258620690968e-01,-5.600000000000000117e-02
7.040421455938697948e-01,-5.600000000000000117e-02
7.060422653256706038e-01,-5.700000000000000205e-02
7.080423850574713018e-01,-5.700000000000000205e-02
7.100425047892721109e-01,-5.700000000000000205e-02
7.120426245210729199e-01,-5.500000000000000028e-02
7.140427442528736179e-01,-5.199999999999999761e-02
7.160428639846744270e-01,-4.800000000000000100e-02
7.180429837164752360e-01,-4.399999999999999745e-02
7.200431034482759340e-01,-3.899999999999999994e-02
7.220432231800767431e-01,-3.500000000000000333e-02
7.240433429118774411e-01,-3.300000000000000155e-02
7.260434626436782501e-01,-3.200000000000000067e-02
7.280435823754790592e-01,-3.200000000000000067e-02
7.300437021072797572e-01,-3.300000000000000155e-02
7.320438218390805662e-01,-3.400000000000000244e-02
7.340439415708813753e-01,-3.400000000000000244e-02
7.360440613026820733e-01,-3.300000000000000155e-02
7.380441810344828824e-01,-3.099999999999999978e-02
7.400443007662835804e-01,-2.599999999999999881e-02
7.420444204980843894e-01,-2.000000000000000042e-02
7.440445402298851985e-01,-1.299999999999999940e-02
7.460446599616858965e-01,-6.000000000000000125e-03
7.480447796934867055e-01,1.000000000000000021e-03
7.500448994252874035e-01,6.000000000000000125e-03
7.520450191570882126e-01,1.000000000000000021e-02
7.540451388888890216e-01,1.099999999999999936e-02
7.560452586206897196e-01,1.200000000000000025e-02
7.580453783524905287e-01,1.299999999999999940e-02
7.600454980842913377e-01,1.400000000000000029e-02
7.620456178160920357e-01,1.799999999999999864e-02
7.640457375478928448e-01,2.400000000000000050e-02
7.660458572796935428e-01,3.099999999999999978e-02
7.680459770114943518e-01,3.699999999999999817e-02
7.700460967432951609e-01,4.200000000000000261e-02
7.720462164750958589e-01,4.299999999999999656e-02
7.740463362068966680e-01,4.000000000000000083e-02
7.760464559386973660e-01,3.500000000000000333e-02
7.780465756704981750e-01,2.699999999999999969e-02
7.800466954022989841e-01,1.700000000000000122e-02
7.820468151340996821e-01,8.000000000000000167e-03
7.840469348659004911e-01,-2.000000000000000042e-03
7.860470545977013002e-01,-1.099999999999999936e-02
7.880471743295019982e-01,-1.899999999999999953e-02
7.900472940613028072e-01,-2.800000000000000058e-02
7.920474137931035052e-01,-3.599999999999999728e-02
7.940475335249043143e-01,-4.399999999999999745e-02
7.960476532567051233e-01,-5.099999999999999672e-02
7.980477729885058213e-01,-5.800000000000000294e-02
8.000478927203066304e-01,-6.400000000000000133e-02
8.020480124521073284e-01,-6.900000000000000577e-02
8.040481321839081374e-01,-7.199999999999999456e-02
8.060482519157089465e-01,-7.399999999999999634e-02
8.080483716475096445e-01,-7.399999999999999634e-02
8.100484913793104536e-01,-7.299999999999999545e-02
8.120486111111112626e-01,-7.099999999999999367e-02
8.140487308429119606e-01,-6.900000000000000577e-02
8.160488505747127697e-01,-6.900000000000000577e-02
8.180489703065134677e-01,-7.099999999999999367e-02
8.200490900383142767e-01,-7.399999999999999634e-02
8.220492097701150858e-01,-7.799999999999999989e-02
8.240493295019157838e-01,-8.100000000000000255e-02
8.260494492337165928e-01,-8.200000000000000344e-02
8.280495689655174019e-01,-8.100000000000000255e-02
8.300496886973180999e-01,-7.799999999999999989e-02
8.320498084291189089e-01,-7.599999999999999811e-02
8.340499281609196069e-01,-7.499999999999999722e-02
8.360500478927204160e-01,-7.599999999999999811e-02
8.380501676245212250e-01,-8.000000000000000167e-02
8.400502873563219230e-01,-8.400000000000000522e-02
8.420504070881227321e-01,-8.699999999999999400e-02
8.440505268199234301e-01,-8.799999999999999489e-02
8.460506465517242392e-01,-8.599999999999999312e-02
8.480507662835250482e-01,-8.100000000000000255e-02
8.500508860153257462e-01,-7.499999999999999722e-02
8.520510057471265553e-01,-7.099999999999999367e-02
8.540511254789273643e-01,-6.900000000000000577e-02
8.560512452107280623e-01,-7.199999999999999456e-02
8.580513649425288714e-01,-7.900000000000000078e-02
8.600514846743295694e-01,-8.999999999999999667e-02
8.620516044061303784e-01,-1.029999999999999943e-01
8.640517241379311875e-01,-1.160000000000000059e-01
8.660518438697318855e-01,-1.250000000000000000e-01
8.680519636015326945e-01,-1.290000000000000036e-01
8.700520833333333925e-01,-1.250000000000000000e-01
8.720522030651342016e-01,-1.120000000000000023e-01
8.740523227969350106e-01,-8.799999999999999489e-02
8.760524425287357086e-01,-5.000000000000000278e-02
8.780525622605365177e-01,3.000000000000000062e-03
8.800526819923373267e-01,7.399999999999999634e-02
8.820528017241380248e-01,1.620000000000000051e-01
8.840529214559388338e-01,2.640000000000000124e-01
8.860530411877395318e-01,3.739999999999999991e-01
8.880531609195403409e-01,4.839999999999999858e-01
8.900532806513411499e-01,5.819999999999999618e-01
8.920534003831418479e-01,6.620000000000000329e-01
8.940535201149426570e-01,7.169999999999999707e-01
8.960536398467433550e-01,7.399999999999999911e-01
8.980537595785441640e-01,7.259999999999999787e-01
9.000538793103449731e-01,6.710000000000000409e-01
9.020539990421456711e-01,5.719999999999999529e-01
9.040541187739464801e-01,4.329999999999999960e-01
9.060542385057472892e-01,2.630000000000000115e-01
9.080543582375479872e-01,7.900000000000000078e-02
9.100544779693487962e-01,-1.000000000000000056e-01
9.120545977011494942e-01,-2.530000000000000027e-01
9.140547174329503033e-01,-3.679999999999999938e-01
9.160548371647511123e-01,-4.380000000000000004e-01
9.180549568965518104e-01,-4.660000000000000253e-01
9.200550766283526194e-01,-4.640000000000000235e-01
9.220551963601534284e-01,-4.420000000000000040e-01
9.240553160919541265e-01,-4.109999999999999765e-01
9.260554358237549355e-01,-3.800000000000000044e-01
9.280555555555556335e-01,-3.509999999999999787e-01
9.300556752873564426e-01,-3.270000000000000129e-01
9.320557950191572516e-01,-3.069999999999999951e-01
9.340559147509579496e-01,-2.899999999999999800e-01
9.360560344827587587e-01,-2.730000000000000204e-01
9.380561542145594567e-01,-2.550000000000000044e-01
9.400562739463602657e-01,-2.330000000000000127e-01
9.420563936781610748e-01,-2.069999999999999896e-01
9.440565134099617728e-01,-1.779999999999999916e-01
9.460566331417625818e-01,-1.459999999999999909e-01
9.480567528735633909e-01,-1.170000000000000068e-01
9.500568726053640889e-01,-9.199999999999999845e-02
9.520569923371648979e-01,-7.499999999999999722e-02
9.540571120689655960e-01,-6.700000000000000400e-02
9.560572318007664050e-01,-6.700000000000000400e-02
9.580573515325672140e-01,-7.099999999999999367e-02
9.600574712643679121e-01,-7.599999999999999811e-02
9.620575909961687211e-01,-7.900000000000000078e-02
9.640577107279694191e-01,-7.900000000000000078e-02
9.660578304597702282e-01,-7.599999999999999811e-02
9.680579501915710372e-01,-6.800000000000000488e-02
9.700580699233717352e-01,-5.899999999999999689e-02
9.720581896551725443e-01,-5.099999999999999672e-02
9.740583093869733533e-01,-4.399999999999999745e-02
9.760584291187740513e-01,-3.899999999999999994e-02
9.780585488505748604e-01,-3.799999999999999906e-02
9.800586685823755584e-01,-3.799999999999999906e-02
9.820587883141763674e-01,-3.899999999999999994e-02
9.840589080459771765e-01,-3.899999999999999994e-02
9.860590277777778745e-01,-3.699999999999999817e-02
9.880591475095786835e-01,-3.300000000000000155e-02
9.900592672413794926e-01,-2.800000000000000058e-02
9.920593869731801906e-01,-2.500000000000000139e-02
9.940595067049809996e-01,-2.299999999999999961e-02
9.960596264367816977e-01,-2.500000000000000139e-02
9.980597461685825067e-01,-2.900000000000000147e-02
1.000059865900383205e+00,-3.300000000000000155e-02
1.002059985632184125e+00,-3.599999999999999728e-02
1.004060105363984823e+00,-3.699999999999999817e-02
1.006060225095785521e+00,-3.400000000000000244e-02
1.008060344827586441e+00,-2.900000000000000147e-02
1.010060464559387139e+00,-2.299999999999999961e-02
1.012060584291187837e+00,-1.799999999999999864e-02
1.014060704022988535e+00,-1.400000000000000029e-02
1.016060823754789455e+00,-1.299999999999999940e-02
1.018060943486590153e+00,-1.299999999999999940e-02
1.020061063218390851e+00,-1.499999999999999944e-02
1.022061182950191771e+00,-1.600000000000000033e-02
1.024061302681992469e+00,-1.600000000000000033e-02
1.026061422413793167e+00,-1.400000000000000029e-02
1.028061542145594087e+00,-1.099999999999999936e-02
1.030061661877394785e+00,-7.000000000000000146e-03
1.032061781609195483e+00,-3.000000000000000062e-03
1.034061901340996403e+00,-0.000000000000000000e+00
1.036062021072797101e+00,1.000000000000000021e-03
1.038062140804597799e+00,2.000000000000000042e-03
1.040062260536398497e+00,1.000000000000000021e-03
1.042062380268199417e+00,0.000000000000000000e+00
1.044062500000000115e+00,0.000000000000000000e+00
1.046062619731800813e+00,1.000000000000000021e-03
1.048062739463601734e+00,2.000000000000000042e-03
1.050062859195402432e+00,5.000000000000000104e-03
1.052062978927203130e+00,8.999999999999999320e-03
1.054063098659004050e+00,1.200000000000000025e-02
1.056063218390804748e+00,1.600000000000000033e-02
1.058063338122605446e+00,1.899999999999999953e-02
1.060063457854406366e+00,2.199999999999999872e-02
1.062063577586207064e+00,2.400000000000000050e-02
1.064063697318007762e+00,2.599999999999999881e-02
1.066063817049808460e+00,2.800000000000000058e-02
1.068063936781609380e+00,3.099999999999999978e-02
1.070064056513410078e+00,3.400000000000000244e-02
1.072064176245210776e+00,3.699999999999999817e-02
1.074064295977011696e+00,4.100000000000000172e-02
